Surname,First Name,Middle Name,Gender,Birthdate,Birthplace,Purok,Marital Status,Total Household Members,Blood Type,Occupation,Length of Stay,Monthly Income
Pesaras,Nilmar,Aquino,Male,07/01/2002,USA,2,Married,22,A-,Virtual Assistant,45,More Than 100000
Raagas,Andrei,w,Male,13/03/2003,awd,6,Single,22,A+,awd,2,50000 To 100000
Ali,Marhamah,Santos,Female,30/06/2004,Zamboanga,2,Widowed,12,AB-,Nurse,21,More Than 100000
Tapuyao,Chavy,Pangilinan,Male,11/03/2005,wad,5,Married,12,A+,awd,12,20000 To 50000
Mansueto,Araviel,Pantinople,Female,23/11/2003,Iligan,6,Divorced,12,A-,Software Engineer,23,More Than 100000
Ali,Mark,Santos,Female,30/06/2003,Zamboanga,2,Widowed,12,AB-,Nurse,21,More Than 100000
Tapuyao,Chavier,Pangilinan,Male,11/03/2012,wad,5,Married,12,A+,awd,12,20000 To 50000
Mansueto,Aravielian,Pantinople,Female,23/11/2011,Iligan,6,Divorced,12,A-,Software Engineer,23,More Than 100000
Pesaras,Nilmara,Aquino,Male,07/01/2022,USA,2,Married,22,A-,Virtual Assistant,45,More Than 100000
Raagas,Andree,w,Male,13/03/2007,awd,6,Single,22,A+,awd,2,50000 To 100000
